=== ppl_streaming start 2026-08-16 00:27:42 ===
corpus /Users/kk/work/research/dsv4-streaming/streaming/../logs/ppl_corpus.npy (200,000 tokens, 195 windows available); running first 195 windows x 1024 tokens; cache 8.0 GB, store lru
[store] prefill (get_many) reads: page-cached; insert policy: fill-no-evict
[load] resident weights in 0.9s (9.4 GB active)
[load] done in 0.9s
[win 59/195] nll_sum 1556.67 over 1023 tok  ppl 4.5799  cumulative ppl 5.8301  75s (13.65 tok/s)  store {'hits': 32764, 'misses': 495221, 'hit_rate': 0.0621, 'read_gb': 7010.24, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 494656}  mem peak 25.3 GB
[win 60/195] nll_sum 1489.17 over 1023 tok  ppl 4.2874  cumulative ppl 5.8003  80s (12.85 tok/s)  store {'hits': 33329, 'misses': 503490, 'hit_rate': 0.0621, 'read_gb': 7127.29, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 502925}  mem peak 25.3 GB
[win 61/195] nll_sum 1450.38 over 1023 tok  ppl 4.1279  cumulative ppl 5.7681  76s (13.43 tok/s)  store {'hits': 33894, 'misses': 511799, 'hit_rate': 0.0621, 'read_gb': 7244.91, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 511234}  mem peak 25.3 GB
[win 62/195] nll_sum 1209.97 over 1023 tok  ppl 3.2634  cumulative ppl 5.7153  76s (13.39 tok/s)  store {'hits': 34459, 'misses': 519920, 'hit_rate': 0.0622, 'read_gb': 7359.87, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 519355}  mem peak 25.3 GB
[win 63/195] nll_sum 1287.09 over 1023 tok  ppl 3.5189  cumulative ppl 5.6715  80s (12.87 tok/s)  store {'hits': 35024, 'misses': 527981, 'hit_rate': 0.0622, 'read_gb': 7473.98, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 527416}  mem peak 25.3 GB
[win 64/195] nll_sum 1700.70 over 1023 tok  ppl 5.2723  cumulative ppl 5.6650  73s (14.09 tok/s)  store {'hits': 35589, 'misses': 536232, 'hit_rate': 0.0622, 'read_gb': 7590.78, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 535667}  mem peak 25.3 GB
[win 65/195] nll_sum 1977.42 over 1023 tok  ppl 6.9099  cumulative ppl 5.6824  74s (13.82 tok/s)  store {'hits': 36154, 'misses': 544086, 'hit_rate': 0.0623, 'read_gb': 7701.96, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 543521}  mem peak 25.3 GB
[win 66/195] nll_sum 1721.96 over 1023 tok  ppl 5.3830  cumulative ppl 5.6777  76s (13.43 tok/s)  store {'hits': 36719, 'misses': 552501, 'hit_rate': 0.0623, 'read_gb': 7821.08, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 551936}  mem peak 25.3 GB
[win 67/195] nll_sum 1904.95 over 1023 tok  ppl 6.4374  cumulative ppl 5.6884  76s (13.41 tok/s)  store {'hits': 37284, 'misses': 561249, 'hit_rate': 0.0623, 'read_gb': 7944.92, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 560684}  mem peak 25.3 GB
[win 68/195] nll_sum 2001.61 over 1023 tok  ppl 7.0753  cumulative ppl 5.7066  79s (12.88 tok/s)  store {'hits': 37849, 'misses': 569842, 'hit_rate': 0.0623, 'read_gb': 8066.56, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 569277}  mem peak 25.3 GB
[win 69/195] nll_sum 1883.15 over 1023 tok  ppl 6.3016  cumulative ppl 5.7148  85s (12.10 tok/s)  store {'hits': 38413, 'misses': 578323, 'hit_rate': 0.0623, 'read_gb': 8186.61, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 577758}  mem peak 25.3 GB
[win 70/195] nll_sum 1738.47 over 1023 tok  ppl 5.4706  cumulative ppl 5.7113  82s (12.45 tok/s)  store {'hits': 38978, 'misses': 586951, 'hit_rate': 0.0623, 'read_gb': 8308.75, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 586386}  mem peak 25.3 GB
